(0, 0),0
(0, 1),1
(0, 2),2
(0, 3),3
(0, 4),4
(0, 5),5
(0, 6),6
(0, 7),7
(0, 8),8
(0, 9),9
(0, 10),10
(0, 11),11
(0, 12),12
(0, 13),13
(0, 14),14
(0, 15),15
(0, 16),16
(0, 17),17
(0, 18),18
(1, 19),19
(1, 20),20
(1, 21),21
(1, 22),22
(1, 23),23
(1, 25),24
(1, 27),25
(1, 28),26
(1, 29),27
(1, 30),28
(1, 31),29
(1, 32),30
(1, 35),31
(1, 39),32
(1, 41),33
(2, 11),34
(2, 33),35
(2, 34),36
(2, 36),37
(3, 24),38
(4, 2),39
(5, 26),40
(6, 37),41
(6, 38),42
(6, 40),43
(6, 42),44
(6, 43),45
(6, 44),46
(6, 45),47
(6, 47),48
(6, 48),49
(6, 49),50
(6, 50),51
(6, 67),52
(7, 46),53
(8, 23),54
(8, 25),55
(8, 30),56
(8, 51),57
(8, 52),58
(8, 53),59
(8, 54),60
(8, 55),61
(8, 56),62
(8, 57),63
(8, 58),64
(8, 59),65
(8, 60),66
(8, 61),67
(8, 62),68
(8, 63),69
(8, 64),70
(8, 65),71
(8, 66),72
(8, 70),73
(8, 72),74
(8, 73),75
(8, 74),76
(8, 76),77
(8, 78),78
(8, 81),79
(8, 86),80
(9, 33),81
(9, 46),82
(9, 68),83
(9, 69),84
(9, 71),85
(9, 75),86
(9, 77),87
(9, 79),88
(9, 80),89
(9, 82),90
(9, 83),91
(9, 84),92
(9, 85),93
(10, 0),94
(10, 9),95
(10, 11),96
(10, 13),97
(10, 15),98
(10, 87),99
(10, 88),100
(10, 89),101
(10, 90),102
(10, 91),103
(10, 92),104
(10, 93),105
(10, 94),106
(10, 95),107
(10, 96),108
(10, 97),109
(10, 98),110
(10, 99),111
(10, 100),112
(10, 101),113
(10, 102),114
(10, 103),115
(10, 104),116
(10, 105),117
(10, 106),118
(10, 107),119
(10, 108),120
(10, 109),121
(10, 110),122
(10, 111),123
(10, 112),124
(10, 113),125
(10, 114),126
(10, 115),127
(10, 116),128
(10, 117),129
(10, 118),130
(11, 0),131
(11, 46),132
(11, 97),133
(11, 102),134
(11, 119),135
(11, 120),136
(11, 121),137
(11, 122),138
(11, 123),139
